Google Common_x,Test_x,SO_x,IO_x,UI_x,Network_x,Security_x,OpenOffice Documents_x,Database_x,PDF_x,Logging_x,Latex_x,#cols,issue,prNumber,Google Common_y,Test_y,SO_y,IO_y,UI_y,Network_y,Security_y,OpenOffice Documents_y,Database_y,PDF_y,Logging_y,Latex_y
0,0,0,1,1,0,0,0,0,0,1,0,3,,1135,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,2,,1089,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,2,,1056,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,1037,0,0,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,4,,947,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,926,0,0,0,1,1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,1,0,3,,903,0,1,0,1,0,0,0,0,0,0,1,0
1,1,0,1,1,1,0,1,0,0,1,0,7,,864,1,1,0,1,1,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,2,,851,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,4,,739,0,1,0,1,0,1,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,594,0,0,0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,,568,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0,0,0,0,3,,560,0,1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,491,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,287,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,137,0,0,0,1,1,0,0,0,0,0,1,0
